id_program;nama_program;pusdiklat;tahun
PR84;DTSS Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR85;DTSS Forensik Digital Perpajakan Menengah;Pusat Pendidikan dan Pelatihan Pajak;2018
PR86;DTSS Hukum Bisnis;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR87;DTSS INTELIJEN TAKTIS;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR88;DTSS Juru Sita (Blended Learning);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR89;DTSS Juru Sita Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
PR90;DTSS Juru Sita Pajak Lanjutan ;Pusat Pendidikan dan Pelatihan Pajak;2018
PR91;DTSS Jurusita Pajak Daerah Kerja Sama Program Diklat Pusdiklat Pajak-BPPK Dengan Pemerintah Kota Padang;Pusat Pendidikan dan Pelatihan Pajak;2018
PR92;DTSS KEMAMPUAN MENULIS TINGKAT DASAR UNTUK JAFUNG AKPD;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR93;DTSS Kepatuhan Internal (Blended Learning);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR94;DTSS KETERAMPILAN PENGGUNAAN GAMMA-RAY CONTAINER SCANNER;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR95;DTSS Layanan Informasi (Blended Learning);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR96;DTSS Manajemen Data dan Informasi ;Pusat Pendidikan dan Pelatihan Pajak;2018
PR97;DTSS Manajemen Ekstensifikasi dan Penyuluhan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR98;DTSS Manajemen Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Pajak;2018
PR99;DTSS Manajemen Mutu dan Keselamatan Kerja Laboratorium Pengujian Bea dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR100;DTSS Manajemen Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR101;DTSS Manajemen Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR102;DTSS Manajemen Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR103;DTSS Manajemen Pengawasan dan Konsultasi (WASKON) II, III dan IV (Pengawasan);Pusat Pendidikan dan Pelatihan Pajak;2018
PR104;DTSS Manajemen Pengawasan dan Konsultasi I (Pelayanan);Pusat Pendidikan dan Pelatihan Pajak;2018
PR105;DTSS Manajemen PPNS;Pusat Pendidikan dan Pelatihan Pajak;2018
PR106;DTSS Metodologi Survey dan Riset Pasar;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR107;DTSS Operator Console Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
PR108;DTSS PATROLI DAN PEMERIKSAAN SARANA PENGANGKUT LAUT;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR109;DTSS PELAYANAN ADMINISTRASI MANIFES;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR110;DTSS Pemeriksa Pajak Daerah Kerja Sama Program Diklat Pusdiklat Pajak-BPPK Dengan Pemerintah Kota Padang;Pusat Pendidikan dan Pelatihan Pajak;2018
PR111;DTSS PEMERIKSAAN BALAI LELANG DAN PEJABAT LELANG KELAS II;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR112;DTSS PEMERIKSAAN BARANG EKSPOR;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR113;DTSS PEMERIKSAAN BARANG IMPOR;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR114;DTSS PEMERIKSAAN BARANG PENUMPANG;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR115;DTSS PEMERIKSAAN BARANG PENUMPANG WANITA;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR116;DTSS Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR117;DTSS PEMERIKSAAN SARANA PENGANGKUT UDARA;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR118;DTSS Pemungutan dan Penagihan Pajak Daerah;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR119;DTSS Penanganan Perkara di DJKN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR120;DTSS Penatausahaan Barang Milik Negara Bagi Pengguna Barang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR121;DTSS Penelaah Keberatan Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
PR122;DTSS PENGAWAKAN SPEEDBOAT PATROLI BEA DAN CUKAI;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR123;DTSS Pengelolaan Barang Milik Negara Bagi Pengguna Barang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR124;DTSS Pengelolaan Piutang Negara dan Piutang Daerah;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR125;DTSS Penggunaan dan Pemanfaatan Barang Milik Negara (bagi Pengguna Barang);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR126;DTSS Penguasaan Metode dan Teknik Analisis Tingkat Dasar untuk Jafung AKPD;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR127;DTSS Pengumpulan Data dan/atau Informasi Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
PR128;DTSS Pengumpulan Data dan/atau Informasi Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR129;DTSS Penilaian Properti Dasar;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR130;DTSS Penilaian Properti Lanjutan;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR131;DTSS Penyuluh Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR132;DTSS Perencanaan Kebutuhan BMN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR133;DTSS Perpajakan untuk Pegawai non DJP;Pusat Pendidikan dan Pelatihan Pajak;2018
PR134;DTSS Petugas Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2018
PR135;DTSS Petugas Tempat Pelayanan Terpadu (TPT);Pusat Pendidikan dan Pelatihan Pajak;2018
PR136;DTSS PPNS;Pusat Pendidikan dan Pelatihan Pajak;2018
PR137;DTSS Tax Treaty Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
PR138;DTSS Teknik Audit Berbantuan Komputer Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR139;DTSS Tindak Pidana Perpajakan (Untuk Jaksa dan Penyidik);Pusat Pendidikan dan Pelatihan Pajak;2018
PR140;DTSS Transfer Pricing Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
PR141;DTU KESAMAPTAAN;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR142;DTU Orientasi untuk Pegawai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
PR143;DTU Penyusunan Standard Operating Procedure (SOP);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR144;Dummy Ujian Sertifikasi III;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR145;Dummy_Pelatihan Jarak Jauh Penyusunan Kontrak Pengadaan Barang/Jasa;Sekretariat Badan;2023
PR146;Ekspor Barang Bawaan Penumpang di Terminal Keberangkatan Luar Daerah Pabean (Microlearning Seri 1 dari program E-Learning Ekspor dan Impor Barang Bawaan Penumpang);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
PR147;e-Learning  Manajemen Pembelajaran;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR148;E-Learning  Pelaksanaan Anggaran Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR149;E-Learning  Pengantar Teknis Perbendaharaan Penerimaan Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR150;E-Learning  Peningkatan Kompetensi Pemecahan Masalah dan Pengambilan Keputusan ;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR151;E-Learning  Perencanaan Keuangan Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR152;E-Learning  Pertanggungjawaban Keuangan Satuan Kerja Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR153;E-Learning Account Representative Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
PR154;E-Learning Administrator Sistem;Pusat Pendidikan dan Pelatihan Pajak;2019
