nama_pelatihan;penyelenggara;tahun
E-Learning Proses Bisnis Klaster Manajemen Data dan Informasi;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Pengawasan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Knowledge Management;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Layanan Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Manajemen Data dan Informasi;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Non-Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Pembayaran;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Penegakan Hukum Pidana Bidang Perpajakan (Criminal Investigation);Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Pengawasan;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Pengelolaan SPT;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Prioritas Direktorat Jenderal Pajak untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis PSIAP Umum;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Registrasi ;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Taxpayer Account Management;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Regulasi VAT Refund (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Sistem Inti Administrasi Perpajakan (SIAP) Modul Pendaftaran, Pengelolaan SPT, Pembayaran, dan TAM;Pusat Pendidikan dan Pelatihan Pajak;2023
FGD Pemblokiran Harta Wajib Pajak/Penanggung Pajak yang Tersimpan di Bank;Pusat Pendidikan dan Pelatihan Pajak;2021
"Kemenkeu Corporate University Open Class (KCOC) ""Komite Kepatuhan DJP: Edukasi dan Compliance Risk Management""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Komite Kepatuhan DJP: Towards Taxpayer Compliance""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Komite Kepatuhan Wajib Pajak: Pengawasan dan Tata Kelola Data""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Pajak Fasilitas Kantor Berdasarkan PMK No.66/2023""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Pajakku untuk Negeriku""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Pemeriksaan dan Penegakan Hukum""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Penerapan Tarif Efektif PPh 21 Berdasarkan PP Nomor 58 Tahun 2023""";Pusat Pendidikan dan Pelatihan Pajak;2024
"Kemenkeu Corporate University Open Class (KCOC) ""Peran Srikandi Pajak untuk Meningkatkan Kompetensi Pegawai dalam Rangka Mencapai Tujuan Organisasi""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Sinkronisasi NPWP-NIK dan Pengisian SPT bagi UMKM Taat Pajak""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Kemenkeu Corporate University Open Class (KCOC) ""Strategi Pengelolaan PPH Pasal 21 dan Overview Aplikasi Kalkulator Pajak""";Pusat Pendidikan dan Pelatihan Pajak;2024
Kemenkeu Corporate University Open Class (KCOC) “Kewajiban PPh atas Pemberian Imbalan Berbentuk Natura dan/atau Kenikmatan”;Pusat Pendidikan dan Pelatihan Pajak;2023
Kemenkeu Corporate University Open Class (KCOC) Pemberlakuan Tarif Efektif Rata-Rata (TER) dalam Penghitungan PPh Pasal 21 berdasarkan PMK 168/2023 dan PER 2/PJ/2024;Pusat Pendidikan dan Pelatihan Pajak;2024
"Kemenkeu Corporate University Open Class Uangku Episode 2: ""UMKM Mau Lapor SPT Pake NIK? Gampang Kok!""";Pusat Pendidikan dan Pelatihan Pajak;2023
Kemenkeu Corporate University Open Class UMKM Bangkit Bersama Kemenkeu (UANGKU);Pusat Pendidikan dan Pelatihan Pajak;2022
Kemenkeu Corpu Open Class “Bedah Putusan Peninjauan Kembali Sengketa PPN”;Pusat Pendidikan dan Pelatihan Pajak;2023
Kemenkeu Corpu Open Class “Kepailitan dan Penagihan Pajak Atas Wajib Pajak Dalam Pailit”;Pusat Pendidikan dan Pelatihan Pajak;2021
Kemenkeu Corpu Open Class Menangani Penolakan Wajib Pajak dengan Teknik DOM NLP (Disarming Objection Mastery Neuro Linguistic Programming);Pusat Pendidikan dan Pelatihan Pajak;2020
Kemenkeu Corpu Open Class Mengenal Bea Materai Lebih Dekat;Pusat Pendidikan dan Pelatihan Pajak;2020
Kemenkeu Corpu Open Class Ngobraskeun: Harmonisasi Peraturan Perpajakan Seri 1 (PPh dan PPS);Pusat Pendidikan dan Pelatihan Pajak;2022
Kemenkeu Corpu Open Class Pajak atas Belanja Barang dan Jasa Instansi Pemerintah;Pusat Pendidikan dan Pelatihan Pajak;2021
Kemenkeu Corpu Open Class Pengisian SPT Tahunan dengan e-Filing, Apa dan Bagaimana?;Pusat Pendidikan dan Pelatihan Pajak;2021
Lokakarya Administrasi Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Analisis Laporan Keuangan;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Bahasa Inggris dan Regulasi terkait VAT Refund ;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Compliance Risk Management;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Compliance Risk Management (CRM) Wajib Pajak (WP) Badan Usaha Milik Negara (BUMN);Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya CRM;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Eksekutif Manajemen Pengendalian Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Eksekutif Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Implikasi Omnibus Law dalam Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Improving Your Tax Research Skill;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Improving Your Tax Research Skill : Data Analysis;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Jarak Jauh Compliance Risk Management Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2021
Lokakarya Jarak Jauh Compliance Risk Management Penegakan Hukum;Pusat Pendidikan dan Pelatihan Pajak;2021
Lokakarya Jarak Jauh Compliance Risk Management Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2021
Lokakarya Joint Program;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Kebijakan Perpajakan Terkini;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Manajemen Penggalian Potensi Pajak Usaha Perdagangan:  E-Commerce;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Mengamankan Potensi Pajak dari Manipulasi Transfer Pricing;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Pembekalan Secondment ;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Pemeriksaan Batubara;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Pemeriksaan Wajib Pajak Kontraktor Kontrak Kerja Sama Minyak dan Gas Bumi ;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Penanganan Perkara DJP-DJBC;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Penggalian Potensi di Wilayah Kanwil DJP Sumatera Selatan dan Kepulauan Bangka Belitung;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Penggalian Potensi Pajak Usaha Perdagangan: E-Commerce untuk Account Representatives;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Pengusulan dan Kolaborasi Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2024
Lokakarya Penilaian Dalam Rangka Optimalisasi Pengelolaan PBB P2 Dan PBB Sektor Perkebunan Di Luar Kawasan Kegiatan Usaha Perkebunan Yang Sudah Dikenakan PBB P3;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Penilaian Properti;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Penyamaan Materi DTSS Petugas Tempat Pelayanan Terpadu (TPT);Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Penyamaan Materi Pelatihan Teknis Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Penyamaan Materi PTPD;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Perpajakan untuk Dosen PKN STAN;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Perpajakan untuk Widyaiswara;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Pertambangan Batubara;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Petugas Sidang dan Penelaah Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Proses Bisnis DJP untuk Pegawai Direktorat Jenderal Bea dan Cukai;Pusat Pendidikan dan Pelatihan Pajak;2018
Lokakarya Teknik dan Metode Pencarian untuk Menemukan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2022
Lokakarya The Role of OECD in Internasional Taxation;Pusat Pendidikan dan Pelatihan Pajak;2019
Lokakarya Tindak Pidana di Bidang Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
Open Access Perpajakan I: E-learning Ketentuan Umum dan Tata Cara Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Access Perpajakan I: E-learning Pajak Bumi dan Bangunan Sektor P5L dan Bea Meterai;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Access Perpajakan I: E-learning Pajak Karbon;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Access Perpajakan I: E-learning Pajak Pemotongan dan Pemungutan Pajak Penghasilan;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Access Perpajakan I: E-learning Pajak Penghasilan;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Access Perpajakan I: E-learning Pajak Pertambahan Nilai dan Pajak Penjualan atas Barang Mewah;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Access Perpajakan I: E-learning Pengantar Pajak Internasional;Pusat Pendidikan dan Pelatihan Pajak;2024
Open Class Kupas Tuntas SPT: Seluk Beluk dan Simulasi Pelaporan melalui e-form;Pusat Pendidikan dan Pelatihan Pajak;2021
Open Class Seri V Pemulihan Ekonomi Nasional (PEN):Insentif Pajak di Masa Pandemi Covid19, Pemanfaatan, Pengajuan, dan Pelaporan;Pusat Pendidikan dan Pelatihan Pajak;2020
Open Class SIAK Seri IX : Proses Bisnis dan Penggalian Potensi Perkebunan Kelapa Sawit dan Industri Pengolahan Kelapa Sawit;Pusat Pendidikan dan Pelatihan Pajak;2023
Open Class: Refleksi dan Tantangan Pasca Dua Bulan Pemberlakuan Undang-Undang Harmonisasi Peraturan Perpajakan, Selanjutnya Apa?;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Ahli Persidangan Forensik Digital Perpajakan (Blended Learning);Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Fungsional Pemeriksa Ahli;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Fungsional Pemeriksa Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Fungsional Pemeriksa Menengah;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Fungsional Pemeriksa Tinggi;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Fungsional Penilai Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Jarak Jauh Account Representative;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Account Representative Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Account Representative Kewilayahan;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Administrasi Penagihan Pajak;Pusat Pendidikan dan Pelatihan Pajak;2024
Pelatihan Jarak Jauh Administrasi Penegakan Hukum;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Administrator Sistem Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Administrator Sistem I;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Administrator Sistem II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Administrator Sistem Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Ahli Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Ahli Persidangan Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Akuntansi Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh ALK Lanjutan Bagi Inspektorat I;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh ALK Tingkat Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Analis IDLP Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Analis IDLP I;Pusat Pendidikan dan Pelatihan Pajak;2022
