nama_pelatihan;penyelenggara;tahun
Pelatihan Trainer Sistem Inti Administrasi Perpajakan (SIAP) Modul Pendaftaran, Pengelolaan SPT, Pembayaran, dan TAM;Pusat Pendidikan dan Pelatihan Pajak;2023
"Seminar Digital KCOC ""Kenapa Harus Lapor SPT?""";Pusat Pendidikan dan Pelatihan Pajak;2021
"Seminar Digital KCOC ""Perasaan Bisa Diungkapkan, Harta Kekayaan pun Bisa Diungkapkan""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Peraturan Pelaksanaan Undang-Undang Cipta Kerja di Bidang Pajak Pertambahan Nilai (PPN)""";Pusat Pendidikan dan Pelatihan Pajak;2021
"Seminar Digital KCOC ""PPS: It's My Dream, Not Theirs!""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Sosialisasi Undang-Undang Harmonisasi Peraturan Perpajakan""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Ungkap, Lengkap, Lelap""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Yesterday and Today"" in International Taxation";Pusat Pendidikan dan Pelatihan Pajak;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Sinergitas Penggalian Potensi Pajak Pusat dan Daerah Melalui Penilaian untuk Tujuan Perpajakan";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital Kemenkeu Corporate University Open Class (KCOC) Kemenkeu Satu “Menyongsong era Nomor Induk Kependudukan (NIK) Sebagai Nomor Pokok Wajib Pajak (NPWP) dan Penjelasan Pengenaan Pajak Penghasilan 5 Persen Atas Gaji Rp 5.000.000,-""";Pusat Pendidikan dan Pelatihan Pajak;2023
"Seminar Digital Kemenkeu Corporate University Open Class (KCOC) Kemenkeu Satu “Pengisian SPT Tahunan PPH Orang Pribadi bagi ASN dan TNI/POLRI""";Pusat Pendidikan dan Pelatihan Pajak;2024
Seminar Digital Kemenkeu Corporate University Open Class “E-Meterai: Pajak atas Dokumen Elektronik” ;Pusat Pendidikan dan Pelatihan Pajak;2021
Seminar Digital Kemenkeu Corporate University Open Class “Esensi Storytelling dalam Presentasi”;Pusat Pendidikan dan Pelatihan Pajak;2021
"Seminar Digital Kemenkeu Corporate University Open Class Ampera Bersatu Episode 3: ""Fungsi Pelayanan dan Pengawasan Perpajakan""";Pusat Pendidikan dan Pelatihan Pajak;2022
Seminar Digital Kemenkeu Corporate University Open Class NgobrasKeun: Ngobrol Asyik dan Santai Keuangan Negara Seri 2: Harmonisasi Peraturan Perpajakan Seri 2 (PPS);Pusat Pendidikan dan Pelatihan Pajak;2022
Seminar Digital Kemenkeu Corporate University Open Class: Kupas Tuntas Mengenai Program Pengungkapan Sukarela (PPS);Pusat Pendidikan dan Pelatihan Pajak;2022
Seminar Digital Kemenkeu Corporate University Open Class: Penilaian Tujuan Khusus;Pusat Pendidikan dan Pelatihan Pajak;2021
Seminar Digital Kemenkeu Corporate University Open Class: Potensi Energi Terbarukan;Pusat Pendidikan dan Pelatihan Pajak;2021
Seminar Digital Kemenkeu Corporate University Open Class: Ungkap Saja, Mumpung Ada PPS;Pusat Pendidikan dan Pelatihan Pajak;2021
Seminar Digital Kemenkeu Corporate University Talk  “Bea Meterai di Era Digital: Apa dan Bagaimana?”;Pusat Pendidikan dan Pelatihan Pajak;2020
Seminar Digital Kemenkeu Corporate University Talk: Dampak Insentif PPnBM Terhadap Harga Mobil;Pusat Pendidikan dan Pelatihan Pajak;2021
Seminar Hasil Kajian Akademis Pusdiklat Pajak Tahun Anggaran 2022 - Agus Suharsono dan Destiny Wulandari;Pusat Pendidikan dan Pelatihan Pajak;2022
Seminar Hasil Kajian Akademis Pusdiklat Pajak Tahun Anggaran 2022 - I Wayan Sukada;Pusat Pendidikan dan Pelatihan Pajak;2022
Seminar Hasil Kajian Akademis Pusdiklat Pajak Tahun Anggaran 2022 - Irawan Purwo Aji;Pusat Pendidikan dan Pelatihan Pajak;2022
Seminar Insentif Pajak untuk Wajib Pajak Terdampak Pendemi Covid-19;Pusat Pendidikan dan Pelatihan Pajak;2020
Seminar Kemandirian Desa untuk Mendukung Penerimaan Negara;Pusat Pendidikan dan Pelatihan Pajak;2019
Seminar Penegakan Hukum Perpajakan: Sinergi Aparat Penegak Hukum dalam Penanganan Tindak Pidana di Bidang Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2023
Seminar Penerapan PPN Produk Digital Luar Negeri di Indonesia;Pusat Pendidikan dan Pelatihan Pajak;2020
Seminar Proposal Kajian Akademis Analisis Data Teks Eksploratif Dalam  Pengawasan Dan Pemeriksaan Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
Seminar Proposal Kajian Akademis KEWENANGAN DIREKTUR JENDERAL PAJAK MELAKUKAN TINDAKAN PENAGIHAN PAJAK BERUPA PEMBLOKIRAN ASET PERUSAHAAN CABANG DIKAITKAN DENGAN HUBUNGAN ANTARA PERUSAHAAN PUSAT DAN CABANG;Pusat Pendidikan dan Pelatihan Pajak;2023
Seminar Proposal Kajian Akademis NJOP Tubuh Bumi Operasi Produksi PBB Sektor Pertambangan Mineral Dan Batubara Yang Memiliki Smelter Terintegrasi (PT. Vale Indonesia Tbk);Pusat Pendidikan dan Pelatihan Pajak;2023
ToT Aplikasi SIAP Role Data (PKD dan DP3);Pusat Pendidikan dan Pelatihan Pajak;2023
ToT Aplikasi SIAP Role Fungsional Pemeriksa Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
ToT Aplikasi SIAP Role SUKI/Umum ;Pusat Pendidikan dan Pelatihan Pajak;2023
TOT Forensik Digital Perpajakan ;Pusat Pendidikan dan Pelatihan Pajak;2020
Training of Trainer E-Audit Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2024
Training of Trainers (ToT) Teknik Pengamatan;Pusat Pendidikan dan Pelatihan Pajak;2023
Webinar in Cooperation with OECD Series 1: Digital Taxation;Pusat Pendidikan dan Pelatihan Pajak;2020
Webinar MoF - OECD Dialogue: BEPS;Pusat Pendidikan dan Pelatihan Pajak;2020
Webinar OECD Updates: Tax and Covid-19 Pandemic;Pusat Pendidikan dan Pelatihan Pajak;2020
Webinar Overview Sistem Inti Administrasi Perpajakan (SIAP) dan Tax Account Management-Taxpayer Portal;Pusat Pendidikan dan Pelatihan Pajak;2023
Webinar: MoF - OECD Dialogue: Current Update in Digital Economy;Pusat Pendidikan dan Pelatihan Pajak;2020
Webinar: MoF - OECD Dialogue: Exchange of Information (EOI);Pusat Pendidikan dan Pelatihan Pajak;2020
Webinar: MoF - OECD Dialogue: Tax Treaty (MLI Implementation);Pusat Pendidikan dan Pelatihan Pajak;2020
Webinar: MoF - OECD Dialogue: Transfer Pricing Guidelines;Pusat Pendidikan dan Pelatihan Pajak;2020
Workshop  Forensik Digital Perpajakan untuk Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2020
WORKSHOP FROM HOME JOIN INVESTIGASI PENINDAKAN PERKARA DJP - DJBC DAN BANTUAN HUKUM DALAM RANGKA OPTIMALISASI PENERIMAAN NEGARA;Pusat Pendidikan dan Pelatihan Pajak;2020
Workshop Manajerial Contact Center;Pusat Pendidikan dan Pelatihan Pajak;2022
Workshop Manajerial Contact Center Peran Asesor;Pusat Pendidikan dan Pelatihan Pajak;2023
Workshop Penanganan Sengketa Pajak Dalam Bidang Transfer Pricing;Pusat Pendidikan dan Pelatihan Pajak;2022
Workshop Peningkatan Kualitas Layanan Perpajakan bagi Pemerintah Daerah;Pusat Pendidikan dan Pelatihan Pajak;2023
Workshop Rancangan Omnibus Law Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
